frame_number,local_dot_x_truth,local_dot_y_truth,yaw_deg,pitch_deg,zoom,global_dot_x_truth,global_dot_y_truth,global_dot_size_truth
0,461.7593688964844,144.86573791503906,0.0,0.0,1.0,800,300,1
1,425.9621276855469,201.13526916503906,6.23735072453278,-0.847457627118644,0.988135593220339,810,300,1
2,402.519287109375,240.87661743164062,12.202099292274005,-1.694915254237288,0.976271186440678,820,300,1
3,371.41937255859375,255.75006103515625,17.633557568774194,-2.5423728813559325,0.964406779661017,830,300,1
4,345.1270446777344,275.7436218261719,22.294344764321824,-3.389830508474576,0.9525423728813559,840,300,1
5,326.8519287109375,297.3354187011719,25.980762113533157,-4.23728813559322,0.940677966101695,850,300,1
6,317.8315734863281,315.66009521484375,28.531695488854606,-5.084745762711865,0.9288135593220339,860,300,1
7,317.8975830078125,326.2711486816406,29.8356568610482,-5.932203389830509,0.9169491525423729,870,300,1
8,326.63458251953125,326.70782470703125,29.835656861048204,-6.779661016949152,0.9050847457627119,880,300,1
9,344.2335205078125,317.22869873046875,28.53169548885461,-7.627118644067797,0.8932203389830509,890,300,1
10,371.3114013671875,300.6741638183594,25.98076211353316,-8.47457627118644,0.8813559322033898,900,300,1
11,405.5977783203125,281.6481628417969,22.294344764321835,-9.322033898305085,0.8694915254237288,910,300,1
12,429.1914978027344,266.3128967285156,17.633557568774197,-10.16949152542373,0.8576271186440678,920,300,1
13,452.0440673828125,250.4998321533203,12.202099292274001,-11.016949152542372,0.8457627118644068,930,300,1
14,490.6505126953125,199.19073486328125,6.23735072453278,-11.864406779661017,0.8338983050847457,940,300,1
15,536.3802490234375,150.77127075195312,1.699661669294394e-14,-12.711864406779661,0.8220338983050848,950,300,1
16,587.1864624023438,108.28224182128906,-6.237350724532772,-13.559322033898304,0.8101694915254237,960,300,1
17,640.1028442382812,73.7781982421875,-12.202099292274006,-14.40677966101695,0.7983050847457627,970,300,1
18,681.1270751953125,36.17479705810547,-17.63355756877419,-15.254237288135593,0.7864406779661017,980,300,1
19,715.6964111328125,-1.4392622709274292,-22.29434476432182,-16.101694915254235,0.7745762711864407,990,300,1
20,750.1035766601562,-27.963573455810547,-25.980762113533153,-16.94915254237288,0.7627118644067796,1000,300,1
21,779.1860961914062,-42.746788024902344,-28.531695488854606,-17.796610169491526,0.7508474576271187,1010,300,1
22,798.5153198242188,-46.10923385620117,-29.8356568610482,-18.64406779661017,0.7389830508474576,1020,300,1
23,805.8714599609375,-38.93744659423828,-29.835656861048204,-19.491525423728813,0.7271186440677966,1030,300,1
24,801.874267578125,-22.099973678588867,-28.53169548885461,-20.33898305084746,0.7152542372881356,1040,300,1
25,789.7479248046875,3.7786097526550293,-25.980762113533157,-21.1864406779661,0.7033898305084746,1050,300,1
26,774.38330078125,38.123085021972656,-22.29434476432182,-22.033898305084744,0.6915254237288135,1060,300,1
27,755.673095703125,74.11013793945312,-17.6335575687742,-22.88135593220339,0.6796610169491526,1070,300,1
28,721.1795043945312,98.06270599365234,-12.202099292274005,-23.728813559322035,0.6677966101694915,1080,300,1
29,685.7819213867188,126.92810821533203,-6.237350724532769,-24.576271186440678,0.6559322033898305,1090,300,1
30,652.2390747070312,159.8299102783203,-3.399323338588788e-14,-25.423728813559322,0.6440677966101696,1100,300,1
31,622.8571166992188,195.10931396484375,6.237350724532755,-26.27118644067797,0.6322033898305084,1110,300,1
32,599.2350463867188,230.50689697265625,12.202099292273992,-27.11864406779661,0.6203389830508474,1120,300,1
33,582.1653442382812,263.47894287109375,17.633557568774187,-27.966101694915253,0.6084745762711865,1130,300,1
34,571.7217407226562,291.5565490722656,22.294344764321828,-28.8135593220339,0.5966101694915255,1140,300,1
35,569.4572143554688,305.6776123046875,25.980762113533153,-29.66101694915254,0.5847457627118644,1150,300,1
36,572.05126953125,311.9479064941406,28.531695488854606,-30.508474576271187,0.5728813559322035,1160,300,1
37,578.7013549804688,314.6826171875,29.8356568610482,-31.35593220338983,0.5610169491525424,1170,300,1
38,590.0240478515625,313.02423095703125,29.835656861048204,-32.20338983050847,0.5491525423728814,1180,300,1
39,605.7677001953125,307.8877868652344,28.53169548885461,-33.05084745762712,0.5372881355932204,1190,300,1
40,629.5924072265625,288.1610107421875,25.980762113533174,-33.89830508474576,0.5254237288135594,1200,300,1
41,660.9168090820312,262.83544921875,22.294344764321856,-34.74576271186441,0.5135593220338983,1210,300,1
42,699.8993530273438,235.8845672607422,17.6335575687742,-35.59322033898305,0.5016949152542374,1220,300,1
43,746.35693359375,210.44960021972656,12.202099292274033,-36.440677966101696,0.4898305084745763,1230,300,1
44,799.23095703125,189.55563354492188,6.237350724532825,-37.28813559322034,0.47796610169491527,1240,300,1
45,856.5718383789062,175.6532440185547,1.1021821192326178e-14,-38.13559322033898,0.4661016949152543,1250,300,1
46,915.7661743164062,170.21481323242188,-6.237350724532752,-38.983050847457626,0.4542372881355933,1260,300,1
47,973.9530639648438,173.50328063964844,-12.202099292274012,-39.83050847457627,0.4423728813559322,1270,300,1
48,1028.510986328125,184.58407592773438,-17.633557568774183,-40.67796610169492,0.43050847457627117,1280,300,1
49,1077.47021484375,201.5693817138672,-22.294344764321806,-41.52542372881356,0.41864406779661023,1290,300,1
50,1119.747802734375,222.00936889648438,-25.98076211353316,-42.3728813559322,0.4067796610169492,1300,300,1
51,1155.16455078125,243.30926513671875,-28.531695488854602,-43.22033898305085,0.3949152542372881,1310,300,1
52,1184.282470703125,263.06658935546875,-29.835656861048204,-44.06779661016949,0.3830508474576272,1320,300,1
53,1208.1396484375,279.2735290527344,-29.8356568610482,-44.91525423728814,0.37118644067796613,1330,300,1
54,1227.967529296875,290.3844909667969,-28.531695488854613,-45.76271186440678,0.3593220338983051,1340,300,1
55,1244.9527587890625,295.2891845703125,-25.98076211353315,-46.61016949152542,0.34745762711864414,1350,300,1
56,1260.0789794921875,293.2445068359375,-22.294344764321824,-47.45762711864407,0.3355932203389831,1360,300,1
